date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:32:15	181275/181275	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Sep%202018%2014:56:32%20GMT	https://adas.az/templates/default/assets/img/elmibey.png	C:/Users/User/Desktop/adas/adas.az/templates/default/assets/img/elmibey.png	(from https://adas.az/az/)
14:32:15	236816/236816	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Sep%202018%2014:56:32%20GMT	https://adas.az/templates/default/assets/img/orxan.png	C:/Users/User/Desktop/adas/adas.az/templates/default/assets/img/orxan.png	(from https://adas.az/az/)
14:32:16	4457/4457	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2014%20Sep%202018%2012:09:10%20GMT	https://adas.az/templates/default/assets/js/img-modal-slider.js	C:/Users/User/Desktop/adas/adas.az/templates/default/assets/js/img-modal-slider.js	(from https://adas.az/az/)
14:32:16	639/639	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2010%20Sep%202018%2014:56:34%20GMT	https://adas.az/templates/default/assets/js/img-modal-init.js	C:/Users/User/Desktop/adas/adas.az/templates/default/assets/js/img-modal-init.js	(from https://adas.az/az/)
14:32:16	231185/231185	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Sep%202018%2014:56:32%20GMT	https://adas.az/templates/default/assets/img/tanimiram.png	C:/Users/User/Desktop/adas/adas.az/templates/default/assets/img/tanimiram.png	(from https://adas.az/az/)
14:32:16	138396/138396	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2010%20Sep%202018%2014:56:34%20GMT	https://adas.az/templates/default/assets/js/plugins.min.js	C:/Users/User/Desktop/adas/adas.az/templates/default/assets/js/plugins.min.js	(from https://adas.az/az/)
14:32:17	21890/21890	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2027%20Sep%202018%2014:29:06%20GMT	https://adas.az/templates/default/assets/js/scripts.js	C:/Users/User/Desktop/adas/adas.az/templates/default/assets/js/scripts.js	(from https://adas.az/az/)
14:32:17	418010/418010	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Sep%202018%2014:56:30%20GMT	https://adas.az/templates/default/assets/css/icons/coder.png	C:/Users/User/Desktop/adas/adas.az/templates/default/assets/css/icons/coder.png	(from https://adas.az/az/)
14:32:17	1130/1130	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Oct%202018%2011:32:18%20GMT	https://adas.az/templates/default/owl/owl.video.play.png	C:/Users/User/Desktop/adas/adas.az/templates/default/owl/owl.video.play.png	(from https://adas.az/templates/default/assets/css/plugins.min.css)
14:32:18	77192/77192	---M--	200	added ('OK')	font/ttf	date:Mon,%2010%20Sep%202018%2014:56:22%20GMT	https://adas.az/templates/default/assets/css/fonts/DinPro/DINPro-regular.ttf	C:/Users/User/Desktop/adas/adas.az/templates/default/assets/css/fonts/DinPro/DINPro-regular.ttf	(from https://adas.az/templates/default/assets/css/styles.css)
14:32:18	26060/26060	---M--	200	added ('OK')	font/otf	date:Mon,%2010%20Sep%202018%2014:56:26%20GMT	https://adas.az/templates/default/assets/css/fonts/Helvetica/HelveticaNeueCyr-Light.otf	C:/Users/User/Desktop/adas/adas.az/templates/default/assets/css/fonts/Helvetica/HelveticaNeueCyr-Light.otf	(from https://adas.az/templates/default/assets/css/styles.css)
